,serie,martinez,lacalle,total_19_bal,fa_19,multi_19,fa,core,orsi,delgado
0,AAA,57.39581083999137,42.60418916000864,4631.0,49.11668484187568,46.67393675027263,55.08076058065835,39.99182171335105,56.08076058065835,43.91923941934165
1,AAB,42.517006802721085,57.48299319727891,588.0,39.39393939393939,58.24915824915824,44.574290484140235,51.75292153589315,45.574290484140235,54.425709515859765
2,ABA,43.92857142857143,56.07142857142857,280.0,41.30434782608695,56.8840579710145,47.44027303754266,47.610921501706486,48.44027303754266,51.55972696245734
3,ABB,54.09836065573771,45.90163934426229,305.0,45.71917808219178,51.71232876712329,49.65034965034965,46.15384615384616,50.65034965034965,49.34965034965035
4,ACA,60.832606800348735,39.167393199651265,4588.0,52.91794646774901,41.750767880649406,60.08105369807497,35.11651469098278,61.08105369807497,38.91894630192503
5,ACB,45.543345543345545,54.456654456654455,819.0,40.79110012360939,56.24227441285538,45.18229166666667,51.04166666666667,46.18229166666667,53.81770833333333
6,ADA,50.598290598290596,49.401709401709404,585.0,45.59710494571773,49.698431845597106,46.53846153846154,47.69230769230769,47.53846153846154,52.46153846153846
7,AEA,45.43404735062006,54.56595264937994,887.0,38.95809739524349,56.5118912797282,42.32715008431703,54.131534569983145,43.32715008431703,56.67284991568297
8,AEB,55.27950310559007,44.72049689440994,322.0,43.92678868552412,50.41597337770382,49.83870967741936,45.16129032258064,50.83870967741936,49.16129032258064
9,AFA,39.55479452054795,60.445205479452056,584.0,35.45150501672241,61.70568561872909,41.4075286415712,54.173486088379704,42.4075286415712,57.5924713584288
10,AFB,47.179487179487175,52.820512820512825,195.0,41.75257731958763,53.60824742268041,45.42483660130719,50.32679738562092,46.42483660130719,53.57516339869281
11,AGA,43.667296786389414,56.33270321361059,529.0,36.41618497109826,59.34489402697495,39.57115009746588,57.30994152046783,40.57115009746588,59.42884990253412
12,AGB,48.35164835164835,51.64835164835166,546.0,42.839352428393525,52.55292652552927,45.07575757575758,50.56818181818182,46.07575757575758,53.92424242424242
13,AHA,37.457434733257664,62.542565266742336,881.0,32.531500572737684,62.31386025200459,33.87703889585947,61.98243412797993,34.87703889585947,65.12296110414053
14,AHB,48.0,52.0,625.0,41.584158415841586,54.12541254125413,45.13274336283185,50.61946902654867,46.13274336283185,53.86725663716815
15,AIA,47.867063492063494,52.13293650793651,6048.0,40.73218997361477,54.139182058047496,46.417743737035266,49.082495611935535,47.417743737035266,52.582256262964734
16,AIB,34.164859002169194,65.8351409978308,922.0,31.222707423580786,65.61135371179039,40.59304703476483,56.23721881390593,41.59304703476483,58.40695296523517
17,AJA,42.50764525993883,57.49235474006116,654.0,35.18716577540107,61.604278074866315,38.56998992950655,57.90533736153071,39.56998992950655,60.43001007049345
18,AJB,44.642857142857146,55.35714285714286,672.0,39.347604485219165,56.3710499490316,41.262848751835534,54.18502202643172,42.262848751835534,57.737151248164466
19,AKA,56.3208909053413,43.67910909465869,9698.0,48.28731575669504,46.16981523769981,53.592663509019445,41.670865665625314,54.592663509019445,45.407336490980555
20,AKB,48.23123382226057,51.76876617773944,1159.0,42.25108225108225,52.55411255411256,45.44456641053787,51.37211855104281,46.44456641053787,53.55543358946213
21,ALA,41.25654450261781,58.7434554973822,955.0,36.680761099365746,57.92811839323467,39.917355371900825,55.9504132231405,40.917355371900825,59.082644628099175
