,SERIE,1984,1999,
0,AAA,,11011,
1,ACA,,8093,
2,AIA,,11675,
3,AKA,,16913,
4,AMA,,6552,
5,APA,,14152,
6,ARA,,19837,
7,ASA,,18564,
8,ATA,,10574,
9,ATB,,13391,
10,AUA,,21965,
11,AUB,,14272,
12,AVA,,27142,
13,AXA,,31533,
14,AXB,,35666,
15,AZA,,44393,
16,AZB,,20174,
17,BAA,,40182,
18,BAB,,58106,
19,BBA,,47769,
20,BBB,,47573,
21,BCA,,103837,
22,BCB,,62238,
23,BCC,,13442,
24,BCD,,12445,
25,BCE,,1495,
26,BCF,,1298,
27,BDA,,105307,
28,BDB,,71355,
29,BDC,,11467,
30,BDD,,8661,
31,BDE,,6382,
32,BEA,,11190,
33,BFA,,8317,
34,BGA,,8047,
35,BJA,,29139,
36,BJB,,22894,
37,BKA,,17008,
38,BLA,,31296,
39,BLB,,42988,
40,BMA,,35017,
41,BMB,,30843,
42,BNA,,57271,
43,BNB,,57021,
44,BNC,,1313,
45,BOA,,24476,
46,BOB,,43156,
47,BPA,,22697,
48,BPB,,26451,
49,BQA,,23353,
50,BQB,,22277,
51,BRA,,47474,
52,BRB,,17643,
53,BSA,,13718,
54,BTA,,30098,
55,BTB,,39310,
56,BTC,,293,
57,BUA,,22103,
58,BUB,,30022,
59,BVA,,43804,
60,BVB,,52132,
61,BVC,,5520,
62,BXB,,17428,
63,BZA,,45048,
64,BZB,,65178,
65,BZC,,17452,
66,CAA,28650,36942,1.289424084
67,CBA,25938,31684,1.22152826
68,CCA,9044,11033,1.219924812
69,CDA,66786,94932,1.42143563
70,CDB,10471,17030,1.626396715
71,CDC,,2647,
72,CDD,,1912,
73,CEA,22557,31194,1.382896662
74,CFA,18966,22935,1.209269219
75,CGA,10985,12832,1.168138371
76,CHA,12293,14959,1.21687139
77,CIA,14201,17373,1.223364552
78,CJA,17326,20241,1.168244257
79,CKA,15697,17261,1.099636873
80,CLA,6648,7782,1.170577617
81,CLB,2122,3615,1.703581527
82,CLC,1580,2366,1.497468354
83,CMA,41012,53157,1.296132839
84,CMB,6650,9356,1.406917293
85,CMC,9869,13320,1.349680819
86,CMD,10769,19477,1.808617328
87,CME,3448,16360,4.744779582
88,CMF,,25598,
89,CMG,,6028,
90,CMH,,3339,
91,CMI,,5180,
92,CMJ,,,
93,CMK,,,
94,CNA,6431,8249,1.282693205
95,CQA,10981,14963,1.362626355
96,CQB,6426,14045,2.185652039
97,DAA,38262,,
98,DAB,7280,,
99,DBA,24889,,
100,DCA,10339,,
101,DCB,7314,,
102,DCD,3145,,
103,DCF,1391,,
104,DED,1740,,
105,DFA,8921,,
106,EAA,41572,,
107,ECG,2158,,
108,EDC,14656,,
109,EEA,12417,,
110,EFB,7070,,
111,EFH,,,
112,FAA,,,
113,FBA,,,
114,FDA,,,
115,FDB,,,
116,GAB,7564,,
117,GAD,7466,,
118,GBA,10367,,
119,GBB,12313,,
120,GBC,16131,,
121,GDA,12048,,
122,GED,4931,,
123,GFB,6088,,
124,HAA,14301,,
125,HAB,41216,,
126,HBA,19841,,
127,HBB,2304,,
128,HBD,3088,,
129,HBE,5231,,
130,HBF,,,
131,HBG,,,
132,HCC,9325,,
133,HDB,7013,,
134,HFG,3765,,
135,IAC,47750,,
136,IAD,,,
137,IAE,,,
138,IAF,,,
139,IAG,,,
140,ICA,3597,,
141,ICC,4410,,
142,ICD,13502,,
143,ICE,,,
144,JAD,6013,,
145,JAE,9268,,
146,JBC,8103,,
147,JBE,4843,,
148,JCA,4248,,
149,JCB,10040,,
150,JCC,19264,,
151,JCD,11650,,
152,JCG,,,
153,JDD,5362,,
154,KAA,30540,,
155,KBA,26732,,
156,KCA,8319,,
157,KCB,18394,,
158,KCC,5033,,
159,KDA,1632,,
160,KDB,3496,,
161,KDC,2409,,
162,KEA,8820,,
163,KFC,4873,,
164,LAA,31902,,
165,LBC,8024,,
166,LBD,7687,,
167,MAA,,,
168,MCA,,,
169,MFA,,,
170,MGJ,,,
171,NAB,16125,,
172,NBD,8812,,
173,NCB,17586,,
174,NDB,,,
175,NEB,14889,,
176,NGB,6023,,
177,NHB,22268,,
178,NIB,11142,,
179,NKC,12206,,
180,NLB,16851,,
181,OAA,6450,,
182,OAD,6616,,
183,OBC,5915,,
184,OBD,5199,,
185,ODA,7686,,
186,OEA,7816,,
187,OFF,4974,,
188,OGA,,,
189,OGB,,,
190,OGC,,,
191,OGE,,,
192,PAA,15300,,
193,PBA,19831,,
194,QAA,41830,,
195,QCA,12094,,
196,QDC,7129,,
197,RAA,9401,,
,RAB,19939,,
,RAC,,,
,RBD,12094,,
,RDE,13102,,
,SAA,35744,,
,SBA,20409,,
,SHD,7397,,
,TAA,48115,,
,TAB,5071,,
,TBE,3948,,
,TCA,3798,,
,TCG,6150,,
,TED,6432,,
,TFD,22805,,
,TGC,3928,,
